number,company,symbol,ytd_return
424,LULULEMON ATHLETICA INC,LULU,-9.95%
425,GLOBAL PAYMENTS INC,GPN,-10.07%
426,ROSS STORES INC,ROST,-10.12%
427,ENPHASE ENERGY INC,ENPH,-10.26%
428,IDEX CORP,IEX,-10.33%
429,HOLOGIC INC,HOLX,-10.47%
430,INVESCO LTD,IVZ,-10.58%
431,BIO TECHNE CORP,TECH,-10.63%
432,UNITED RENTALS INC,URI,-10.74%
433,ONEOK INC,OKE,-10.79%
434,MARTIN MARIETTA MATERIALS,MLM,-10.86%
435,GENERAL MOTORS CO,GM,-10.94%
436,T ROWE PRICE GROUP INC,TROW,-10.99%
437,GODADDY INC   CLASS A,GDDY,-11.19%
438,AXON ENTERPRISE INC,AXON,-11.43%
439,PTC INC,PTC,-11.54%
440,FIDELITY NATIONAL INFO SERV,FIS,-11.76%
441,GENERAC HOLDINGS INC,GNRC,-11.91%
442,DELTA AIR LINES INC,DAL,-11.93%
443,GE VERNOVA INC,GEV,-12.05%
444,AUTODESK INC,ADSK,-12.12%
445,PENTAIR PLC,PNR,-12.21%
446,LAS VEGAS SANDS CORP,LVS,-12.27%
447,ALBEMARLE CORP,ALB,-12.28%
448,AES CORP,AES,-12.59%
449,BOEING CO/THE,BA,-12.89%
450,SOUTHWEST AIRLINES CO,LUV,-13.15%
451,SMURFIT WESTROCK PLC,SW,-13.61%
452,TERADYNE INC,TER,-13.80%
453,VULCAN MATERIALS CO,VMC,-14.12%
454,EATON CORP PLC,ETN,-14.13%
455,MODERNA INC,MRNA,-14.36%
456,DIAMONDBACK ENERGY INC,FANG,-14.48%
457,UNITED AIRLINES HOLDINGS INC,UAL,-14.64%
458,CAESARS ENTERTAINMENT INC,CZR,-14.78%
459,TARGET CORP,TGT,-14.87%
460,EPAM SYSTEMS INC,EPAM,-14.98%
461,FMC CORP,FMC,-15.06%
462,HUBBELL INC,HUBB,-15.38%
463,SALESFORCE INC,CRM,-15.39%
464,CONSTELLATION BRANDS INC A,STZ,-15.72%
465,SYNCHRONY FINANCIAL,SYF,-15.78%
466,BLACKSTONE INC,BX,-15.82%
467,DIGITAL REALTY TRUST INC,DLR,-15.88%
468,BROADCOM INC,AVGO,-15.91%
469,NVIDIA CORP,NVDA,-16.08%
470,ALIGN TECHNOLOGY INC,ALGN,-16.67%
471,CHIPOTLE MEXICAN GRILL INC,CMG,-16.70%
472,ADVANCED MICRO DEVICES,AMD,-16.96%
473,VISTRA CORP,VST,-17.08%
474,CARNIVAL CORP,CCL,-17.17%
475,PAYPAL HOLDINGS INC,PYPL,-17.42%
476,SKYWORKS SOLUTIONS INC,SWKS,-18.12%
477,ULTA BEAUTY INC,ULTA,-18.28%
478,APA CORP,APA,-18.41%
479,CADENCE DESIGN SYS INC,CDNS,-19.05%
480,NETAPP INC,NTAP,-19.22%
481,IRON MOUNTAIN INC,IRM,-19.72%
482,SERVICENOW INC,NOW,-19.76%
483,APOLLO GLOBAL MANAGEMENT INC,APO,-19.84%
484,CELANESE CORP,CE,-20.07%
485,DELL TECHNOLOGIES  C,DELL,-20.64%
486,LAMB WESTON HOLDINGS INC,LW,-20.68%
487,P G + E CORP,PCG,-20.86%
488,SEMPRA,SRE,-21.00%
489,FIRST SOLAR INC,FSLR,-21.06%
490,TELEFLEX INC,TFX,-21.42%
491,NORWEGIAN CRUISE LINE HOLDIN,NCLH,-22.04%
492,KKR + CO INC,KKR,-22.07%
493,QUANTA SERVICES INC,PWR,-22.16%
494,VIATRIS INC,VTRS,-22.49%
495,DAYFORCE INC,DAY,-23.71%
496,ZEBRA TECHNOLOGIES CORP CL A,ZBRA,-24.22%
497,ARISTA NETWORKS INC,ANET,-24.58%
498,HEWLETT PACKARD ENTERPRISE,HPE,-25.95%
499,ON SEMICONDUCTOR,ON,-27.99%
500,WEST PHARMACEUTICAL SERVICES,WST,-29.34%
501,EDISON INTERNATIONAL,EIX,-29.36%
502,WESTERN DIGITAL CORP,WDC,-30.07%
503,TESLA INC,TSLA,-34.96%
504,DECKERS OUTDOOR CORP,DECK,-37.60%
